family,run_name,seed,best_metrics.test/accuracy,best_metrics.test/f1,best_metrics.test/mcc,best_metrics.test/pr_auc,best_metrics.test/precision,best_metrics.test/recall,best_metrics.test/roc_auc,best_metrics.val/accuracy,best_metrics.val/f1,best_metrics.val/mcc,best_metrics.val/pr_auc,best_metrics.val/precision,best_metrics.val/recall,best_metrics.val/roc_auc,parameter_size_bytes,benchmark.latency_mean_seconds,benchmark.latency_std_seconds,benchmark.peak_memory_bytes
Transformer-reconstruction-quant,062-lay3-mod48-lat4-ff128,42,0.7541416,0.7639731,0.50815314,0.8786642,0.7803699,0.7482512,0.83696556,0.7737261,0.7846173,0.5465554,0.8984289,0.79446346,0.7750122,0.8563362,317124,0.001831567,0.00010388164,230400
Transformer-reconstruction-quant,062-lay3-mod48-lat4-ff128,43,0.74367404,0.75667244,0.48603392,0.8758873,0.7640133,0.7494713,0.8298342,0.74037546,0.7567283,0.47841367,0.8826595,0.7541606,0.75931346,0.83157396,317124,0.0017879046,3.7045676e-05,230400
Transformer-reconstruction-quant,062-lay3-mod48-lat4-ff128,44,0.7897833,0.78704756,0.5887704,0.89070475,0.8530585,0.73051894,0.84893924,0.8151657,0.812085,0.6407327,0.9167679,0.88396364,0.75101674,0.8800423,317124,0.0017665462,3.784419e-05,230400
Transformer-reconstruction-quant,063-lay3-mod48-lat8-ff96,42,0.7420736,0.7418503,0.49032894,0.8556548,0.79296625,0.69692534,0.8015948,0.7363526,0.72622734,0.48705816,0.85415757,0.81091386,0.65755653,0.7778303,298324,0.0017324475,4.451659e-05,230400
Transformer-reconstruction-quant,063-lay3-mod48-lat8-ff96,43,0.7297894,0.7327715,0.46352783,0.8500736,0.7728052,0.6966813,0.79149485,0.7424085,0.7433079,0.49019036,0.86727554,0.7906465,0.7013177,0.79475784,298324,0.0017258556,0.00014368273,230400
Transformer-reconstruction-quant,063-lay3-mod48-lat8-ff96,44,0.6617501,0.7423224,0.34860468,0.8465106,0.6239061,0.9162193,0.8009493,0.6183926,0.7186324,0.25750017,0.84501225,0.5910808,0.91638196,0.7777582,298324,0.0017152845,4.048964e-05,230400
Transformer-reconstruction-quant,064-lay3-mod48-lat8-ff128,42,0.66027945,0.6460249,0.33386505,0.79687583,0.7243784,0.5829673,0.70048296,0.6971624,0.69506514,0.4012542,0.83681476,0.74814814,0.6490158,0.74438417,317524,0.0017679363,3.7544884e-05,230400
Transformer-reconstruction-quant,064-lay3-mod48-lat8-ff128,43,0.76075953,0.74894464,0.5393591,0.8650968,0.84728354,0.6710591,0.81434804,0.75248724,0.7381955,0.5248993,0.8608017,0.84365195,0.65617377,0.7824987,317524,0.0017718473,3.6864007e-05,230400
Transformer-reconstruction-quant,064-lay3-mod48-lat8-ff128,44,0.5305593,0.6932361,-0.029225376,0.79874736,0.5312107,0.9974784,0.7217442,0.5318367,0.6943605,0.007009499,0.81053835,0.5318164,1.0,0.71607,317524,0.0018159477,0.00016852704,230400
Transformer-reconstruction-quant,065-lay3-mod48-lat12-ff96,42,0.53847486,0.6971675,0.08226976,0.8022834,0.5353967,0.9990239,0.7464705,0.5323557,0.69457865,0.023751581,0.80980045,0.5320954,0.99991864,0.72186947,298724,0.0018493393,7.823964e-05,230400
