family,run_name,seed,best_epoch,total_epochs,best_metrics.test/accuracy,best_metrics.test/f1,best_metrics.test/mcc,best_metrics.test/pr_auc,best_metrics.test/precision,best_metrics.test/recall,best_metrics.test/roc_auc,best_metrics.val/accuracy,best_metrics.val/f1,best_metrics.val/mcc,best_metrics.val/pr_auc,best_metrics.val/precision,best_metrics.val/recall,best_metrics.val/roc_auc,best_metrics.train/loss,last_metrics.train/loss,parameter_count,benchmark.latency_mean_seconds,benchmark.latency_std_seconds,benchmark.peak_memory_bytes
Transformer-reconstruction,128-lay3-mod32-lat16-ff196,44,40,110,0.8148709,0.8205451,0.6310362,0.91901904,0.84674627,0.79591674,0.8823638,0.80357295,0.807544,0.6099512,0.91447157,0.84302276,0.77493083,0.8771201,0.013720333,0.0021226285,105923,0.0011503317,3.0638184e-05,230400
Transformer-reconstruction,129-lay3-mod32-lat2-ff64,42,70,110,0.818115,0.82640463,0.63580793,0.9221922,0.8390477,0.814137,0.88545823,0.8187559,0.8269739,0.6371179,0.9201804,0.8398759,0.81446236,0.88171023,0.12553617,0.11794391,53533,0.0010349755,2.6812773e-05,230400
Transformer-reconstruction,129-lay3-mod32-lat2-ff64,43,90,110,0.8101129,0.8107432,0.6261168,0.9155267,0.8625023,0.76484466,0.8784174,0.8130894,0.81431824,0.63145757,0.91697896,0.8631684,0.77070117,0.8805758,0.12783204,0.12508482,53533,0.0010072906,2.8963237e-05,230400
Transformer-reconstruction,129-lay3-mod32-lat2-ff64,44,80,110,0.8076906,0.8137879,0.6165046,0.9176382,0.83880156,0.7902229,0.8785383,0.80737954,0.8137521,0.6157042,0.9167052,0.83753765,0.79128027,0.87670547,0.12425839,0.11957263,53533,0.0010444358,2.7552893e-05,230400
Transformer-reconstruction,130-lay3-mod32-lat2-ff96,42,70,110,0.8139625,0.81840825,0.63019156,0.92131037,0.8508472,0.788352,0.8856885,0.8167229,0.8206257,0.63613725,0.9200341,0.85565466,0.788352,0.8839324,0.11820141,0.11204591,66013,0.001036271,2.6512249e-05,230400
Transformer-reconstruction,130-lay3-mod32-lat2-ff96,43,100,110,0.82096976,0.825763,0.64380527,0.92323637,0.8557717,0.79778755,0.8867311,0.8242495,0.8290774,0.6502824,0.9235545,0.8585867,0.8015292,0.8855963,0.11924738,0.11746438,66013,0.0010830474,2.847023e-05,230400
Transformer-reconstruction,130-lay3-mod32-lat2-ff96,44,90,110,0.8238678,0.82199687,0.6567837,0.92627865,0.8884899,0.7647633,0.89220107,0.82935375,0.8288726,0.66605014,0.9270173,0.8880007,0.777127,0.89338344,0.10903975,0.10668432,66013,0.0010651768,2.4765257e-05,230400
Transformer-reconstruction,131-lay3-mod32-lat2-ff128,42,100,110,0.8237813,0.82776695,0.6500695,0.9239802,0.8617958,0.7963234,0.8904021,0.82766676,0.83161455,0.65781796,0.92554927,0.865564,0.80022776,0.8905207,0.1298564,0.12870097,78493,0.0011431251,2.54281e-05,230400
Transformer-reconstruction,131-lay3-mod32-lat2-ff128,43,90,110,0.8193261,0.8214881,0.6429459,0.9248168,0.865466,0.78176343,0.8906501,0.82104856,0.82207215,0.6475963,0.9214891,0.8722278,0.77737105,0.8845872,0.11398792,0.11280517,78493,0.0011019657,3.276046e-05,230400
Transformer-reconstruction,131-lay3-mod32-lat2-ff128,44,110,110,0.8134435,0.8181013,0.628989,0.9202669,0.84952265,0.7889214,0.8830201,0.8153387,0.8199114,0.63282394,0.9203874,0.8516344,0.7904669,0.8829806,0.114565834,0.114565834,78493,0.001185956,3.6697187e-05,230400
Transformer-reconstruction,132-lay3-mod32-lat2-ff196,42,70,110,0.8165578,0.8211529,0.6352184,0.92251897,0.85261405,0.79193103,0.8871506,0.820962,0.8257043,0.6438371,0.9224278,0.8560203,0.79746217,0.8851646,0.1331979,0.11921534,105013,0.0012805617,3.780354e-05,230400
Transformer-reconstruction,132-lay3-mod32-lat2-ff196,43,110,110,0.8053116,0.8115238,0.61170995,0.91834193,0.836282,0.78818935,0.8818193,0.8110996,0.8169817,0.6234169,0.9202645,0.84265584,0.79282576,0.8844211,0.110582404,0.110582404,105013,0.0012705482,2.7579417e-05,230400
Transformer-reconstruction,132-lay3-mod32-lat2-ff196,44,60,110,0.82304597,0.8219214,0.6541504,0.9234859,0.8840715,0.7679356,0.88849765,0.82277876,0.8209901,0.65448093,0.9210297,0.88690645,0.7641939,0.8836958,0.13058427,0.11525302,105013,0.0012500621,3.4669178e-05,230400
Transformer-reconstruction,133-lay3-mod48-lat4-ff196,42,100,110,0.84216446,0.850076,0.6836437,0.9399724,0.8588626,0.8414674,0.9181426,0.84384465,0.8508511,0.68746597,0.94127816,0.8645676,0.83756304,0.91939694,0.022031792,0.022150297,175543,0.0014561446,2.3322731e-05,230400
Transformer-reconstruction,133-lay3-mod48-lat4-ff196,43,100,110,0.8079502,0.82345927,0.61387974,0.929765,0.8054605,0.8422808,0.90261984,0.81317586,0.82781166,0.62438697,0.93344694,0.81179136,0.844477,0.90816516,0.025466148,0.024965918,175543,0.001571361,3.9873667e-05,230400
Transformer-reconstruction,133-lay3-mod48-lat4-ff196,44,90,110,0.8351572,0.8450372,0.6689689,0.9401149,0.84486544,0.84520906,0.9208196,0.841033,0.85088253,0.680683,0.94359165,0.8489191,0.852855,0.9250454,0.024126165,0.023126602,175543,0.001444555,3.5802936e-05,230400
Transformer-reconstruction,134-lay3-mod48-lat8-ff196,42,50,110,0.8015485,0.81265825,0.6017253,0.9206144,0.8159233,0.8094192,0.8898285,0.80629814,0.8160079,0.61170375,0.9184771,0.8244769,0.80771106,0.88407105,0.011078278,0.0046317717,175931,0.001441738,3.0577736e-05,230400
Transformer-reconstruction,134-lay3-mod48-lat8-ff196,43,40,110,0.81772566,0.8366287,0.635062,0.9327479,0.79925925,0.8776639,0.9139122,0.8100182,0.82711387,0.6183359,0.92778,0.801373,0.8545632,0.9052846,0.013781596,0.0045581334,175931,0.0014324007,3.2580174e-05,230400
